Claim_ID,Claim_Amount,Policy_Limit,Claim_Type,Customer_Tenure,Customer_Score,Legal_Cost_Predicted,Litigation_Risk,Churn_Risk,Outcome,Recommended_Action,Actual_Settlement
C100032,89654,28512,Auto,15,0.55,14515,0.68,0.29,Settled,Mediate,51397
C100033,40773,21342,Medical,3,0.29,17790,0.25,0.55,Settled,Settle,28661
C100034,72435,83076,Home,1,0.31,14205,0.39,0.53,Lost,Settle,68766
C100035,61886,39216,Travel,16,0.35,23939,0.28,0.58,Settled,Settle,47668
C100036,71803,113070,Home,2,0.62,26338,0.22,0.22,Settled,Litigate,45523
C100037,36551,99767,Travel,2,0.33,14748,0.72,0.26,Settled,Settle,27200
C100038,16394,117829,Home,3,0.73,23097,0.82,0.11,Settled,Settle,13853
C100039,74092,46614,Liability,8,0.4,5092,0.36,0.53,Won,Settle,68609
C100040,8890,56258,Liability,15,0.07,22543,0.69,0.04,Settled,Mediate,5441
C100041,46606,113789,Liability,7,0.78,24692,0.81,0.48,Settled,Settle,40433
C100042,85038,62078,Auto,6,0.29,28650,0.77,0.7,Settled,Settle,63521
C100043,92313,103524,Travel,9,0.43,25862,0.21,0.71,Settled,Settle,79038
C100044,15627,116573,Liability,1,0.69,26860,0.86,0.36,Lost,Settle,12253
C100045,13792,32219,Auto,8,0.33,15971,0.37,0.37,Settled,Mediate,7915
C100046,78969,20235,Travel,3,0.06,16616,0.34,0.07,Lost,Mediate,48140
C100047,48001,62929,Home,4,0.37,6933,0.1,0.54,Won,Settle,35746
C100048,81552,87444,Auto,15,0.94,6926,0.46,0.66,Settled,Settle,75474
C100049,28897,28567,Medical,6,0.64,27763,0.14,0.2,Settled,Litigate,14407
C100050,73148,90792,Auto,15,0.67,5969,0.26,0.34,Settled,Litigate,30915
C100051,28483,85441,Auto,3,0.63,4965,0.32,0.67,Won,Settle,23131
C100052,53555,104555,Travel,14,0.2,6319,0.74,0.7,Settled,Settle,41780
C100053,22159,93698,Home,14,0.42,10975,0.79,0.2,Settled,Settle,19635
C100054,85077,25415,Medical,4,0.75,9108,0.31,0.44,Settled,Mediate,71458
C100055,40920,56159,Liability,12,0.1,11141,0.78,0.16,Won,Settle,33125
C100056,97067,63925,Liability,17,0.28,22323,0.78,0.09,Settled,Settle,88841
C100057,72121,25951,Auto,7,0.28,18428,0.7,0.73,Settled,Settle,60687
C100058,74479,107388,Travel,9,0.43,3810,0.17,0.66,Settled,Settle,55062
C100059,94475,28007,Travel,3,0.98,22950,0.64,0.61,Settled,Settle,82444
C100060,24457,61832,Liability,13,0.07,12273,0.85,0.05,Won,Settle,20259
C100061,71557,78596,Medical,15,0.52,11021,0.63,0.68,Settled,Settle,61728
C100062,82189,50523,Home,18,0.18,20293,0.33,0.36,Won,Mediate,66687
C100063,83953,108861,Medical,19,0.97,8364,0.48,0.28,Won,Mediate,54918
C100064,57995,106740,Home,1,0.11,4581,0.6,0.44,Settled,Mediate,47289
C100065,45757,35524,Liability,6,0.4,2691,0.48,0.08,Won,Mediate,34900
C100066,14692,39282,Home,2,0.74,2931,0.15,0.61,Settled,Settle,12079
C100067,50758,43930,Travel,14,0.7,15128,0.32,0.47,Settled,Mediate,36095
C100068,77409,20077,Auto,6,0.42,26294,0.73,0.16,Won,Settle,60487
C100069,76211,40611,Auto,14,0.35,16226,0.78,0.16,Settled,Settle,72087
C100070,70697,36984,Liability,4,0.4,15861,0.17,0.16,Won,Litigate,44798
C100071,42065,34060,Travel,8,0.26,17475,0.86,0.06,Settled,Settle,29906
C100072,97093,102985,Medical,3,0.21,24766,0.33,0.47,Lost,Mediate,59645
C100073,37606,104056,Travel,19,0.48,5406,0.61,0.67,Settled,Settle,32184
C100074,16534,63303,Auto,14,0.27,10339,0.69,0.02,Settled,Mediate,8592
C100075,99663,79207,Auto,17,0.29,19416,0.74,0.05,Settled,Settle,70359
C100076,45397,95046,Travel,8,0.66,19695,0.85,0.46,Won,Settle,36885
C100077,96387,49287,Travel,14,0.97,10579,0.32,0.66,Won,Settle,75487
C100078,6016,113709,Auto,6,0.6,5121,0.78,0.27,Settled,Settle,4870
C100079,94789,59711,Medical,16,0.08,20257,0.16,0.29,Lost,Litigate,40886
C100080,60591,31954,Liability,19,0.08,27491,0.65,0.48,Settled,Mediate,33788
C100081,94812,93340,Liability,14,0.95,28454,0.68,0.23,Settled,Mediate,70274
C100082,28247,92101,Travel,19,0.3,25165,0.63,0.03,Lost,Mediate,19210
C100083,29300,91520,Liability,3,0.09,17946,0.26,0.59,Lost,Settle,21976
C100084,79065,107062,Auto,10,0.6,5748,0.79,0.5,Won,Settle,61662
C100085,87798,38574,Auto,19,0.62,2277,0.19,0.47,Lost,Litigate,52319
C100086,14268,29184,Travel,9,0.65,28553,0.1,0.6,Settled,Settle,10245
C100087,91807,39096,Travel,13,0.27,20243,0.66,0.54,Lost,Settle,67649
C100088,17185,87728,Travel,7,0.02,29612,0.45,0.17,Settled,Mediate,9033
C100089,68704,54016,Medical,14,0.97,13563,0.77,0.29,Settled,Settle,62045
C100090,91779,31246,Liability,9,0.25,24313,0.38,0.11,Settled,Mediate,70058
C100091,44099,65558,Travel,19,0.68,8792,0.19,0.11,Settled,Litigate,29839
C100092,13571,38381,Home,15,0.71,23097,0.76,0.54,Settled,Settle,11930
C100093,43044,56455,Home,14,0.61,15918,0.52,0.69,Settled,Settle,37334
C100094,56214,112263,Auto,6,0.31,12374,0.21,0.77,Settled,Settle,46053
C100095,66228,24018,Liability,4,0.27,6675,0.66,0.51,Settled,Settle,56993
C100096,53984,31302,Travel,8,0.6,3170,0.48,0.16,Settled,Mediate,27716
C100097,45774,87506,Home,17,0.87,10681,0.56,0.09,Settled,Mediate,32843
C100098,7568,61157,Liability,9,0.95,12717,0.44,0.65,Settled,Settle,6769
C100099,67592,74917,Auto,1,0.11,27758,0.75,0.47,Won,Settle,55769
C100100,72563,112738,Medical,14,0.15,14450,0.76,0.5,Lost,Settle,57279
C100101,7695,116646,Liability,11,0.94,12680,0.65,0.63,Won,Settle,5920
C100102,53190,103122,Liability,3,0.74,12068,0.14,0.57,Settled,Settle,45780
C100103,10258,44519,Medical,9,0.88,23692,0.76,0.67,Won,Settle,8957
C100104,92538,116809,Liability,14,0.2,4462,0.62,0.05,Settled,Mediate,74478
C100105,44504,107487,Auto,9,0.59,15650,0.64,0.6,Settled,Settle,34961
C100106,38159,76819,Auto,4,0.7,28206,0.36,0.68,Settled,Settle,34054
C100107,18986,100910,Medical,4,0.68,2287,0.8,0.24,Won,Settle,15954
C100108,66858,91324,Travel,8,0.41,24337,0.67,0.52,Settled,Settle,61556
C100109,17666,25408,Home,2,0.02,22666,0.15,0.26,Settled,Litigate,9961
C100110,43660,79379,Travel,9,0.58,20291,0.4,0.77,Settled,Settle,36211
C100111,8561,45053,Liability,14,0.25,3161,0.8,0.04,Lost,Settle,7229
C100112,31854,29446,Home,9,0.45,18513,0.09,0.47,Won,Litigate,21490
C100113,69505,20922,Medical,16,0.96,24721,0.87,0.14,Settled,Settle,65416
C100114,57251,118723,Medical,17,0.4,4363,0.63,0.57,Settled,Settle,41128
C100115,27662,71356,Home,16,0.84,26535,0.59,0.15,Settled,Mediate,14348
C100116,13392,30789,Auto,12,0.19,7983,0.28,0.2,Won,Litigate,10295
C100117,35535,117720,Home,3,0.67,18527,0.26,0.4,Settled,Litigate,20075
C100118,83603,86656,Liability,11,0.98,10207,0.85,0.73,Lost,Settle,71374
C100119,57256,64028,Auto,14,0.1,25853,0.3,0.18,Settled,Mediate,38295
C100120,94135,84484,Medical,18,0.01,16758,0.71,0.12,Won,Settle,68098
C100121,40222,52154,Home,5,0.43,2244,0.38,0.61,Settled,Settle,35878
C100122,82373,102870,Travel,16,0.09,19310,0.17,0.41,Settled,Litigate,55487
C100123,84575,22336,Travel,5,0.75,5178,0.06,0.73,Settled,Settle,65793
C100124,89651,87779,Liability,3,0.91,4176,0.51,0.13,Settled,Mediate,54434
C100125,68335,39029,Travel,12,0.43,7002,0.88,0.52,Settled,Settle,62147
C100126,15965,79201,Home,1,0.26,2886,0.36,0.19,Won,Mediate,8386
C100127,29538,52265,Home,9,0.43,26916,0.35,0.13,Settled,Mediate,23878
C100128,75592,63872,Travel,9,0.72,28627,0.34,0.55,Won,Settle,57764
C100129,13110,66197,Home,4,0.01,21782,0.49,0.48,Won,Mediate,9275
C100130,84309,75180,Liability,3,0.59,15721,0.42,0.61,Settled,Settle,78744
C100131,32266,43710,Auto,17,0.61,14142,0.8,0.25,Won,Settle,28056
C100132,57992,49486,Liability,2,0.64,26881,0.48,0.36,Won,Mediate,37407
C100133,87948,91907,Liability,1,0.24,27483,0.48,0.33,Settled,Mediate,65199
C100134,11910,91895,Home,8,0.71,4654,0.17,0.79,Won,Settle,9361
C100135,95982,84435,Auto,13,0.09,13984,0.89,0.24,Settled,Settle,73840
C100136,5206,60631,Home,15,0.2,25776,0.26,0.24,Settled,Litigate,4156
C100137,92054,40103,Medical,8,0.88,19755,0.11,0.29,Won,Litigate,62172
C100138,92897,84772,Home,12,0.74,9135,0.61,0.46,Settled,Mediate,67410
C100139,28419,34382,Home,12,0.01,2320,0.56,0.21,Settled,Mediate,17743
C100140,55636,104291,Home,14,0.25,6654,0.4,0.73,Settled,Settle,39628
C100141,55015,23756,Auto,15,0.21,23684,0.41,0.22,Won,Mediate,28105
C100142,59268,40609,Home,15,0.27,25145,0.72,0.72,Lost,Settle,49698
C100143,92939,36478,Auto,9,0.25,25238,0.22,0.09,Settled,Litigate,63292
C100144,23141,59666,Travel,19,0.06,23889,0.75,0.53,Won,Settle,19307
C100145,85356,95683,Medical,8,0.46,18131,0.6,0.73,Lost,Settle,77690
C100146,76910,119097,Auto,19,0.73,27707,0.41,0.14,Settled,Mediate,39354
C100147,61044,91315,Travel,6,0.61,12770,0.44,0.77,Settled,Settle,48327
C100148,72214,97834,Auto,19,0.67,8553,0.27,0.37,Won,Litigate,30224
C100149,38827,34153,Auto,4,0.08,22426,0.69,0.76,Won,Settle,31520
C100150,60820,96325,Medical,7,0.95,13559,0.49,0.54,Lost,Settle,43674
C100151,67623,32999,Liability,4,0.84,11009,0.32,0.25,Settled,Mediate,56393
C100152,86734,75318,Liability,12,0.81,15482,0.56,0.16,Settled,Mediate,50144
C100153,80450,20814,Auto,13,0.82,9498,0.9,0.25,Settled,Settle,74864
C100154,98426,96077,Home,3,0.93,8636,0.42,0.08,Settled,Mediate,63884
C100155,27299,110474,Travel,12,0.54,9362,0.83,0.12,Settled,Settle,25835
C100156,48585,22443,Home,2,0.2,18395,0.34,0.09,Won,Mediate,33714
C100157,69044,95993,Home,2,0.62,18578,0.1,0.34,Settled,Litigate,52847
C100158,47557,95916,Auto,9,0.74,4537,0.22,0.64,Won,Settle,33353
C100159,54080,93319,Auto,1,0.74,21226,0.41,0.12,Settled,Mediate,41202
C100160,7693,37368,Auto,8,0.52,17216,0.24,0.11,Settled,Litigate,5781
C100161,74163,35328,Auto,6,0.07,20613,0.05,0.52,Settled,Settle,54504
C100162,30939,76942,Liability,6,0.37,5009,0.83,0.17,Settled,Settle,22400
C100163,53925,111751,Auto,18,0.92,26368,0.77,0.09,Settled,Settle,43471
C100164,47941,119131,Liability,17,0.58,16209,0.68,0.14,Lost,Mediate,39637
C100165,26834,47306,Liability,12,0.54,17675,0.19,0.74,Won,Settle,22422
C100166,23047,105451,Auto,6,0.27,17029,0.15,0.66,Settled,Settle,19171
C100167,31105,59915,Medical,8,0.37,4077,0.11,0.29,Settled,Litigate,11526
C100168,80766,57219,Travel,19,0.9,15907,0.67,0.53,Lost,Settle,56552
C100169,20707,100879,Home,10,0.67,26229,0.84,0.43,Settled,Settle,18688
C100170,26976,84644,Liability,1,0.79,5867,0.42,0.54,Settled,Settle,19473
C100171,49262,80279,Travel,13,0.45,18152,0.15,0.55,Settled,Settle,42289
C100172,28776,73028,Medical,17,0.63,6873,0.49,0.51,Lost,Settle,26722
C100173,35080,20126,Home,3,0.25,10635,0.35,0.22,Settled,Mediate,20101
C100174,71842,72329,Home,8,0.71,2297,0.37,0.04,Settled,Mediate,52649
C100175,66373,47632,Liability,14,0.43,15095,0.58,0.37,Lost,Mediate,35014
C100176,11776,85310,Auto,3,0.44,24240,0.66,0.71,Settled,Settle,10020
C100177,97787,75176,Medical,16,0.65,11036,0.14,0.46,Settled,Litigate,37351
C100178,60016,106066,Liability,13,0.94,3015,0.08,0.67,Settled,Settle,53053
C100179,14474,64327,Medical,17,0.06,3384,0.9,0.79,Lost,Settle,11221
C100180,63053,88904,Auto,13,0.82,27973,0.25,0.14,Settled,Litigate,33524
C100181,26959,23797,Auto,6,0.29,10745,0.1,0.56,Lost,Settle,22911
C100182,10530,67882,Liability,17,0.44,20734,0.21,0.54,Won,Settle,7821
C100183,99856,33718,Auto,14,0.02,19653,0.08,0.78,Settled,Settle,88413
C100184,8748,54560,Travel,17,0.3,3260,0.38,0.79,Lost,Settle,6785
C100185,18545,96589,Home,8,0.5,9701,0.73,0.55,Settled,Settle,16052
C100186,71199,42116,Liability,11,0.06,26760,0.34,0.2,Settled,Mediate,39543
C100187,39766,56244,Medical,1,0.49,22947,0.43,0.64,Settled,Settle,34677
C100188,78530,21645,Travel,7,0.93,25281,0.62,0.09,Settled,Mediate,42788
C100189,98557,67523,Liability,17,0.11,28986,0.48,0.63,Settled,Settle,79470
C100190,66087,39256,Auto,10,0.76,24056,0.78,0.73,Settled,Settle,50345
C100191,73840,73173,Auto,11,0.41,12401,0.79,0.31,Settled,Settle,65503
C100192,59384,57430,Auto,9,0.66,17519,0.06,0.51,Won,Settle,45458
C100193,56005,59282,Auto,9,0.26,23977,0.71,0.35,Settled,Settle,51548
C100194,51576,83374,Medical,5,0.16,13864,0.44,0.36,Lost,Mediate,41886
C100195,44353,88244,Travel,17,0.16,17681,0.89,0.26,Settled,Settle,33225
C100196,67003,31694,Home,9,0.07,24539,0.46,0.61,Settled,Settle,57184
C100197,88211,76264,Medical,17,0.19,7543,0.89,0.75,Settled,Settle,63682
C100198,57733,95060,Medical,19,0.66,25624,0.69,0.75,Settled,Settle,46064
C100199,70318,117416,Home,7,0.88,23067,0.26,0.15,Settled,Litigate,46175
C100200,94474,77545,Home,9,0.81,20265,0.51,0.7,Won,Settle,81706
C100201,28664,59224,Auto,7,0.69,14488,0.89,0.59,Lost,Settle,24541
C100202,72172,117945,Medical,13,0.11,27097,0.78,0.21,Lost,Settle,55618
C100203,90616,33224,Liability,11,0.29,12079,0.13,0.06,Settled,Litigate,44312
C100204,98264,60738,Home,14,0.31,12744,0.65,0.22,Lost,Mediate,52672
C100205,31736,45150,Home,19,0.25,5809,0.34,0.73,Settled,Settle,27919
C100206,99209,83731,Travel,11,0.52,24191,0.06,0.51,Settled,Settle,81943
C100207,5854,69688,Liability,13,0.54,23267,0.39,0.58,Lost,Settle,5135
C100208,95084,119929,Liability,14,0.36,9206,0.25,0.21,Won,Litigate,40360
C100209,43623,93509,Home,13,0.35,22539,0.75,0.58,Settled,Settle,34074
C100210,12392,28577,Auto,1,0.83,23057,0.34,0.03,Settled,Mediate,7645
C100211,60680,28070,Travel,8,0.79,15746,0.75,0.31,Settled,Settle,42866
C100212,51717,28666,Liability,12,0.31,17995,0.05,0.51,Won,Settle,40611
C100213,92092,77761,Home,19,0.91,18035,0.31,0.13,Settled,Mediate,71938
C100214,55859,56368,Liability,12,0.95,13671,0.25,0.66,Lost,Settle,51631
C100215,31309,26783,Travel,8,0.33,15210,0.25,0.2,Settled,Litigate,17505
C100216,92455,61914,Travel,8,0.35,19793,0.11,0.53,Settled,Settle,75246
C100217,68734,90507,Medical,13,0.51,28270,0.21,0.33,Settled,Litigate,21679
C100218,75467,99026,Home,12,0.94,7197,0.52,0.48,Settled,Mediate,60956
C100219,57662,87526,Travel,16,0.88,17553,0.3,0.09,Settled,Mediate,29093
C100220,17688,90835,Medical,1,0.1,9452,0.4,0.02,Won,Mediate,14692
C100221,30342,65765,Medical,13,0.39,10718,0.37,0.73,Lost,Settle,24950
C100222,42157,39956,Liability,7,0.55,16859,0.79,0.22,Lost,Settle,33113
C100223,72863,107895,Liability,5,0.5,29236,0.82,0.66,Won,Settle,67839
C100224,57083,66240,Medical,8,0.19,4172,0.47,0.8,Lost,Settle,40306
C100225,70733,57148,Liability,14,0.86,15158,0.33,0.18,Settled,Mediate,49760
C100226,94045,114270,Travel,13,0.68,18663,0.14,0.22,Won,Litigate,54025
C100227,39698,24757,Auto,15,0.84,29540,0.86,0.53,Settled,Settle,29965
C100228,85623,39097,Travel,17,0.86,22361,0.1,0.77,Settled,Settle,69116
C100229,27671,30395,Medical,15,0.75,21053,0.3,0.73,Settled,Settle,23881
C100230,30184,36241,Medical,18,0.44,13085,0.3,0.41,Settled,Mediate,22773
C100231,98384,47696,Travel,18,0.61,26209,0.32,0.64,Settled,Settle,68886
C100232,47107,90480,Liability,2,0.16,28327,0.19,0.12,Lost,Litigate,36198
C100233,91202,66163,Liability,4,0.67,5981,0.72,0.78,Settled,Settle,67592
C100234,56663,39816,Medical,1,0.18,23153,0.15,0.77,Settled,Settle,42972
C100235,20708,69840,Home,4,0.69,7247,0.59,0.14,Settled,Mediate,12263
C100236,96906,72853,Liability,18,0.23,12553,0.16,0.25,Settled,Litigate,30904
C100237,54811,44917,Travel,5,0.12,22811,0.11,0.09,Settled,Litigate,19815
C100238,7811,116731,Liability,19,0.17,8135,0.82,0.22,Settled,Settle,7393
C100239,61250,41566,Travel,15,0.0,7573,0.21,0.65,Settled,Settle,47701
C100240,77082,95452,Medical,8,0.72,22515,0.75,0.31,Settled,Settle,56179
C100241,39754,82823,Liability,17,0.73,28284,0.51,0.08,Won,Mediate,21365
C100242,16411,40806,Travel,1,0.51,15731,0.12,0.28,Won,Litigate,10826
C100243,7911,95520,Medical,12,0.16,9189,0.86,0.79,Settled,Settle,7227
C100244,72270,21759,Home,19,0.08,16541,0.26,0.51,Settled,Settle,55231
C100245,88763,61949,Travel,15,0.02,12878,0.78,0.34,Settled,Settle,62598
C100246,13680,112374,Home,9,0.17,13087,0.19,0.14,Won,Litigate,5629
C100247,89896,22482,Home,7,0.89,15667,0.78,0.79,Settled,Settle,64197
C100248,88879,44442,Auto,2,0.24,22919,0.06,0.66,Settled,Settle,64512
C100249,76295,53719,Liability,9,0.35,4776,0.49,0.23,Won,Mediate,49670
C100250,93614,78066,Travel,10,0.11,11311,0.7,0.07,Settled,Mediate,54340
C100251,16111,113501,Home,2,0.22,29564,0.84,0.05,Settled,Settle,13355
C100252,42504,22079,Auto,19,0.52,9697,0.82,0.11,Settled,Settle,32446
C100253,6802,22717,Medical,11,0.61,16629,0.75,0.47,Lost,Settle,6360
C100254,13155,79676,Travel,13,0.25,10386,0.8,0.74,Lost,Settle,12187
C100255,78656,47952,Home,10,0.06,19046,0.22,0.4,Won,Litigate,45888
C100256,44384,106444,Liability,14,0.39,27055,0.29,0.68,Settled,Settle,35001
C100257,52254,62460,Auto,18,0.23,10044,0.3,0.36,Settled,Mediate,33097
C100258,26918,110397,Home,19,0.22,22602,0.37,0.57,Lost,Settle,21614
C100259,90981,92847,Liability,9,0.96,11615,0.38,0.59,Lost,Settle,80235
C100260,65713,113607,Home,7,0.62,17034,0.51,0.15,Settled,Mediate,43243
C100261,35306,109106,Travel,3,0.56,7060,0.19,0.3,Won,Litigate,25715
C100262,21646,38449,Travel,6,0.42,12900,0.64,0.51,Settled,Settle,20261
C100263,51843,53536,Travel,2,0.43,29751,0.19,0.07,Settled,Litigate,24261
C100264,95735,84077,Auto,6,0.54,24258,0.31,0.3,Won,Mediate,66654
C100265,21371,58258,Travel,3,0.7,7581,0.48,0.43,Settled,Mediate,11396
C100266,82371,68302,Liability,16,0.7,4014,0.73,0.8,Lost,Settle,61787
C100267,7049,48865,Home,8,0.17,22173,0.68,0.38,Settled,Mediate,4544
C100268,36616,26645,Medical,2,0.5,14997,0.6,0.65,Settled,Settle,27518
C100269,25932,58000,Liability,17,0.41,12635,0.18,0.35,Lost,Litigate,19145
C100270,34855,46737,Liability,9,0.87,27487,0.51,0.64,Lost,Settle,25777
C100271,66434,31485,Travel,12,0.63,15648,0.12,0.48,Settled,Litigate,35065
C100272,77694,58565,Auto,3,0.53,9148,0.37,0.71,Settled,Settle,66150
C100273,48016,45522,Home,11,0.12,26150,0.4,0.33,Won,Mediate,35635
C100274,12400,85155,Auto,1,0.61,29789,0.08,0.49,Settled,Litigate,6095
C100275,47642,75168,Home,13,0.12,20748,0.28,0.51,Lost,Settle,43700
C100276,20151,72487,Home,15,0.34,16022,0.86,0.34,Lost,Settle,16968
C100277,56407,32342,Auto,5,0.14,22013,0.86,0.12,Settled,Settle,45682
C100278,71690,60806,Liability,17,0.69,7919,0.35,0.08,Settled,Mediate,37532
C100279,9499,68770,Home,6,0.21,17886,0.09,0.02,Settled,Litigate,5056
C100280,11295,98623,Auto,11,0.39,24059,0.2,0.7,Lost,Settle,10224
C100281,64040,119785,Home,18,0.9,27256,0.38,0.2,Settled,Mediate,45794
C100282,17183,95629,Medical,4,0.2,8638,0.86,0.18,Settled,Settle,15602
C100283,34299,72603,Liability,3,0.51,6651,0.17,0.59,Settled,Settle,28245
C100284,17874,101974,Travel,13,0.42,2609,0.7,0.26,Settled,Mediate,9678
C100285,37711,46399,Home,9,0.02,9940,0.14,0.41,Settled,Litigate,11570
C100286,10539,105382,Medical,6,0.79,12348,0.88,0.14,Settled,Settle,8176
C100287,58351,101244,Travel,12,0.07,5866,0.37,0.77,Lost,Settle,51027
C100288,66267,96534,Travel,2,0.47,18755,0.71,0.68,Lost,Settle,59478
C100289,53354,75106,Home,3,0.56,25382,0.34,0.69,Won,Settle,41292
C100290,7557,50678,Auto,3,0.63,18999,0.58,0.33,Settled,Mediate,5089
C100291,43360,96218,Home,12,0.69,25295,0.21,0.61,Settled,Settle,34916
C100292,87018,83230,Medical,15,0.25,24394,0.17,0.12,Won,Litigate,43966
C100293,7200,94055,Travel,9,0.01,4253,0.85,0.02,Settled,Settle,5456
C100294,73497,76373,Home,8,0.72,6942,0.83,0.03,Lost,Settle,53953
C100295,51975,51480,Auto,11,0.54,14330,0.8,0.47,Won,Settle,38938
C100296,26357,105230,Home,16,0.84,2864,0.58,0.37,Settled,Mediate,13688
C100297,82505,88836,Liability,4,0.82,3268,0.74,0.42,Lost,Settle,61840
C100298,7869,92258,Auto,1,0.84,9454,0.11,0.02,Lost,Litigate,2396
C100299,66135,59986,Medical,7,0.49,15666,0.33,0.34,Settled,Mediate,47586
C100300,55108,44160,Travel,2,0.33,27360,0.32,0.58,Settled,Settle,42934
C100301,99179,105595,Home,5,0.79,22955,0.59,0.36,Settled,Mediate,83369
C100302,95272,99111,Auto,7,0.45,14370,0.35,0.59,Settled,Settle,71304
C100303,43467,84929,Liability,4,0.18,7229,0.18,0.19,Settled,Litigate,20556
C100304,28328,93506,Auto,5,0.85,18309,0.56,0.65,Settled,Settle,22363
C100305,96412,54911,Liability,1,0.88,20621,0.74,0.47,Lost,Settle,67692
C100306,91831,107127,Medical,1,0.47,6054,0.37,0.18,Settled,Mediate,72888
C100307,8987,51821,Travel,15,0.08,2935,0.16,0.2,Settled,Litigate,2839
C100308,63871,95039,Medical,19,0.39,14172,0.22,0.51,Won,Settle,59722
C100309,27399,80535,Home,10,0.8,24778,0.25,0.67,Settled,Settle,25289
C100310,51214,104458,Auto,18,0.9,26275,0.3,0.34,Lost,Mediate,35206
C100311,91416,32175,Liability,3,0.2,12530,0.6,0.21,Settled,Mediate,63100
C100312,75271,74771,Liability,11,0.07,17560,0.56,0.69,Settled,Settle,64992
C100313,49064,106925,Auto,15,0.88,18156,0.64,0.54,Settled,Settle,39092
C100314,75091,86358,Auto,11,0.39,18709,0.36,0.36,Won,Mediate,54555
C100315,45818,37327,Home,17,0.54,11726,0.75,0.4,Settled,Settle,32585
C100316,50525,67057,Medical,17,0.97,9774,0.22,0.17,Won,Litigate,16522
C100317,24830,26150,Liability,6,0.07,22245,0.45,0.51,Settled,Settle,20219
C100318,22429,24425,Home,5,0.65,3985,0.73,0.29,Settled,Settle,18782
C100319,11893,36032,Medical,8,0.07,16252,0.2,0.8,Settled,Settle,10964
C100320,84909,22198,Home,2,0.38,23316,0.14,0.39,Lost,Litigate,29916
C100321,52333,80500,Liability,16,0.8,6603,0.8,0.39,Lost,Settle,47396
C100322,8436,73394,Auto,12,0.43,21162,0.34,0.46,Settled,Mediate,4838
C100323,79290,40079,Auto,6,1.0,17960,0.63,0.73,Settled,Settle,63314
C100324,81213,56220,Medical,1,0.56,11462,0.07,0.64,Settled,Settle,63277
C100325,10895,61874,Travel,4,0.32,27216,0.64,0.37,Settled,Mediate,6973
C100326,24738,33859,Medical,17,0.22,16166,0.32,0.58,Settled,Settle,18247
C100327,35746,70460,Travel,13,0.35,9754,0.1,0.47,Lost,Litigate,19724
